"teamNum","matchNum","alliance","driveStation","startLocation","preload","mobility","autoPickups","autoFailedPickups","autoCones","autoCubes","autoBalance","communityPickups","neutralPickups","singlePickups","doublePickups","supercharged","teleopCones","teleopCubes","shuttle","teleopBalance","buddyClimb","driver","scoutName","comments","scoredT","scoredA","scoredCones","scoredCubes","totalPickups","scoredLowT","scoredMidT","scoredHighT","scoredLowA","scoredMidA","scoredHighA","scoredTCones","scoredTCubes","scoredACones","scoredACubes","pointsT","pointsA","pointsE","ct","pointsTotal"
5411,1,"r","r2",1,"cone",TRUE,"4","4","9","8","fail",0,0,0,0,0,"NA","NA",0,"na",FALSE,3,"Miele","fell off of charging station in auton and couldn't get back up. down for the rest of the math
",0,2,1,1,2,0,0,0,0,0,2,0,0,1,1,0,15,0,0,15
2539,1,"r","r1",3,"cone",TRUE,"1","1","1","2","na",0,1,7,0,0,"7,4,3,10,13","5,25",0,"engage",FALSE,3,"cobleigh","driver bumped into teammate a couple times, DID sometimes cycle over charge station without slowing down
",7,2,6,3,9,1,2,4,0,0,2,5,2,1,1,28,15,10,19.286,53
5024,1,"b","b1",3,"cube",TRUE,"NA","NA","NA","8","engage",0,0,6,0,0,"13,15,16,27","17",0,"engage",FALSE,4,"santiago","They used the ground substation the most. The driver went through the charge station everytime before scoring. Good driver quick and simple.
",5,1,4,2,6,1,4,0,0,0,1,4,1,0,1,14,21,10,27,45
5988,1,"b","b3",1,"cube",FALSE,"NA","NA","NA","NA","na",0,0,0,0,0,"NA","NA",3,"engage",FALSE,2,"kari","Shuttles pieces, no intake. Tank drive so is not able to move around quickly, attempted climb early.
",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,10
1414,1,"r","r3",2,"cone",TRUE,"NA","NA","6","NA","engage",0,1,5,0,0,"15,25","14,23,24,22",0,"engage",FALSE,2,"novinski","drops cubes if bumped, can't place them consistently at ALL, decent with cones, Driver takes too long to make decisions,
",6,1,3,4,7,4,2,0,0,0,1,2,4,1,0,14,21,10,22.5,45
5618,1,"b","b2",3,"cube",TRUE,"NA","NA","NA","8","na",0,2,0,0,0,"9,26","NA",0,"na",FALSE,1,"Kim","The driver's strategy was to push game pieces into their community and then pickup and place. Driver struggled in pickup/placement of cone. Randomly stopped operating in neutral zone with an entire minute remaining.
",2,1,2,1,3,1,0,1,0,0,1,2,0,0,1,7,9,0,67.5,16
3668,2,"r","r1",1,"cone",TRUE,"NA","NA","9","NA","na",0,2,5,0,0,"18,7,16,15","8,17,27",0,"engage",FALSE,4,"cobleigh","smart driver, dropped second piece to avoid penalty, cycled on the far wall, scored quickly
",7,1,5,3,8,1,4,2,0,0,1,4,3,1,0,24,9,10,19.286,43
319,2,"r","r2",3,"cone",TRUE,"NA","NA","1","NA","na",0,1,4,0,0,"4,12,19,10","2",0,"na",FALSE,4,"miele","driver is very aware and moved out of way for teamates while still cycling. died on the field around 15 seconds before auton
",5,1,5,1,6,1,2,2,0,0,1,4,1,1,0,18,9,0,27,27
4122,2,"b","b1",2,"cone",TRUE,"NA","NA","NA","5","engage",0,0,0,4,0,"9,7,4","17",0,"engage",FALSE,4,"santiago","Only used shelf substation. Cant pick up from the ground. Fast driver though. 
",4,1,3,2,5,0,1,3,0,0,1,3,1,0,1,18,21,10,33.75,49
2635,2,"b","b3",1,"cone",TRUE,"NA","NA","1","NA","na",0,0,0,2,0,"21","2",0,"engage",FALSE,3,"kari","Takes a long time to pickup pieces, stalled for a little bit during game, arm seems very fragile and could drop piece if hit or changes speed too quick.
",2,1,2,1,3,1,0,1,0,0,1,1,1,1,0,7,9,10,67.5,26
5152,2,"r","r3",2,"cube",FALSE,"NA","NA","NA","5","engage",0,1,3,3,0,"6,9,13,12","17,14,23",0,"engage",FALSE,3,"novinski","intake(grabber) seems finnicky and sometimes takes a second to line up, but was consistent for the rest of the match, driver knows how to jostle the bot to get the cone in the right orientation, good bot and driver
",7,1,4,4,8,1,4,2,0,0,1,4,3,0,1,24,18,10,19.286,52
930,2,"b","b2",3,"cone",TRUE,"NA","NA","18","NA","na",0,4,4,0,0,"6,4,15,13","8,5,24,25",0,"engage",FALSE,4,"Kim","Main strategy consisted of shoot pickups. Autom failed after successful preload. Is able to go over charge station.
",8,1,5,4,9,2,2,4,0,1,0,4,4,1,0,30,7,10,16.875,47
1072,3,"b","b1",1,"cone",TRUE,"NA","NA","NA","2","na",0,0,1,5,0,"16,9","17",0,"fail",FALSE,2,"santiago","Has a slow mechanic to pick up cubes from Human substation. The arm moves from the top to the bottom to pick up the cube. Also the arm if it misses a cone or the height of the arm is extended long enough it has to go down all the way down and then up. Missed two cones.
",3,1,2,2,4,0,2,1,0,0,1,2,1,0,1,11,9,0,45,20
5895,3,"r","r2",2,"cone",TRUE,"2","2","3","23","engage",0,1,4,1,0,"6,7,4,15,25","5,14",0,"park",FALSE,3,"miele","stubborn driver, wouldn't move to let teamate get to shelf before them. Went over charge station very frequently to score and very quickly. quick placement for scoring
",7,2,6,3,9,1,2,4,1,0,1,5,2,1,1,28,24,0,19.286,52
2399,3,"r","r1",1,"cone",TRUE,"4","4","9","8","na",0,0,0,5,0,"7,16,18","17",0,"engage",FALSE,4,"cobleigh","very quick intake and scoring. good auton, likes to cycle to position 1 by the wall.
",4,2,4,2,6,0,3,1,0,0,2,3,1,1,1,14,15,10,33.75,39
5505,3,"r","r3",3,"cone",TRUE,"NA","NA","1,10","NA","na",0,2,5,0,0,"6,15","5,14,23,24",0,"engage",FALSE,3,"novinski","intake is good, but driver runs into teamates too much in loading zone, played nice for a double engage, can go over the charge station easily and without dropping pieces
",6,2,4,4,8,2,2,2,0,1,1,2,4,2,0,20,13,10,22.5,43
5409,3,"b","b2",2,"cone",TRUE,"NA","NA","13","NA","engage",0,2,1,1,0,"4,6,15","5",0,"fail",FALSE,3,"Kim","Can move over charge station. Missed a couple cone placements. Preferred cones over cubes and had medium pace placements.
",4,1,4,1,5,0,1,3,0,1,0,3,1,1,0,18,19,0,33.75,37
