"round","match_number","red1","red2","red3","blue1","blue2","blue3"
"qf",1,2539,5411,1414,5024,5618,5988
"qf",2,3668,319,5152,4122,930,2635
"qf",3,2399,5895,5505,1072,5409,1745
"qf",4,9076,587,25,1218,9244,987
"qf",5,384,3655,6352,2656,2230,1923
"qf",6,1683,9007,4039,9022,4175,5089
"qf",7,9008,3683,4561,1983,3937,597
"qf",8,2240,3679,135,3604,2974,5653
"qf",9,6865,2403,4693,6090,7018,4779
"qf",10,6823,694,4020,604,5419,2489
"qf",11,9075,316,469,9125,6420,3374
"qf",12,176,1599,2638,910,360,1241
"qf",13,8576,1506,1923,5913,3620,6672
"qf",14,3668,4175,5988,1745,1218,5895
"qf",15,4561,5024,2399,4122,5089,3655
"qf",16,5618,930,9022,5409,2656,2635
"qf",17,3604,384,5411,9244,5505,7018
"qf",18,2230,4693,5152,2539,3683,1072
"qf",19,135,6352,6823,469,6865,1683
"qf",20,5653,4039,1241,2403,987,604
"qf",21,2638,5419,2240,9075,3620,8576
"qf",22,9008,25,3374,2974,910,2489
"qf",23,9007,6090,694,316,176,319
"qf",24,1414,4020,1506,4779,360,597
"qf",25,6420,3937,587,3679,5913,9125
"qf",26,1983,3655,6672,3668,9076,1599
"qf",27,6352,5024,5089,1072,384,1218
"qf",28,2539,469,2230,1241,4122,5409
"qf",29,7018,5618,3620,9244,5653,1745
"qf",30,1923,987,930,2399,5419,3604
"qf",31,176,4561,5988,3683,316,2240
"qf",32,8576,3374,9022,2403,319,6823
"qf",33,9075,1683,2974,5895,3937,4779
"qf",34,25,5505,6865,1414,9076,694
"qf",35,9008,604,6672,6420,135,6090
"qf",36,5913,2635,360,4039,597,4175
"qf",37,1599,9125,5152,9007,5411,1506
"qf",38,3679,4020,2656,4693,1983,910
"qf",39,5653,316,2638,587,2489,3655
"qf",40,3683,5618,1218,3374,3620,2399
"qf",41,5409,9022,7018,176,3668,3937
"qf",42,384,8576,2539,1745,987,1683
"qf",43,4779,1241,9076,2240,1923,6420
"qf",44,1072,597,4122,135,4175,5419
"qf",45,4561,5913,6823,9244,2974,5152
"qf",46,4039,360,4693,9125,9008,694
"qf",47,587,604,6865,5988,2656,5411
"qf",48,5024,9075,319,3679,6672,5505
"qf",49,469,910,6090,1983,5895,3604
"qf",50,2489,2230,2403,5089,1506,2635
"qf",51,6352,2638,930,1414,1599,25
"qf",52,5409,4020,3655,9007,6420,987
"qf",53,3937,5419,9244,4175,2539,176
"qf",54,1241,6823,3668,316,9008,9076
"qf",55,5152,135,4779,587,2399,384
"qf",56,694,1218,4039,4561,9075,7018
"qf",57,910,319,5895,360,6865,5618
"qf",58,5089,6090,8576,1923,3683,5411
"qf",59,4122,1414,604,1983,2403,3679
"qf",60,3374,2240,5505,2635,6352,4020
"qf",61,2656,5024,3620,2230,25,9125
"qf",62,1745,2638,597,9022,9007,2974
"qf",63,5913,469,1506,930,5653,4693
"qf",64,1072,5988,2489,1599,3604,1683
"qf",65,6672,6420,2539,360,2399,7018
"qf",66,3683,4039,135,694,9244,5895
"qf",67,4175,6865,3679,3655,8576,4561
"qf",68,2635,6823,5618,384,1983,176
"qf",69,3937,6090,9125,2240,4122,25
"qf",70,987,5411,319,2638,2230,2974
"qf",71,1506,587,9075,6352,5409,3668
"qf",72,1241,1923,3604,4020,9022,5024
"qf",73,5505,1218,2403,1683,930,9008
"qf",74,5419,4693,3374,5653,5988,1599
"qf",75,5152,2489,469,597,6672,1414
"qf",76,2656,1745,316,5913,5089,4779
"qf",77,3620,910,1072,9007,9076,604
"qf",78,2635,135,1983,2638,7018,8576
"qf",79,4039,2240,5409,5411,4122,6823
"qf",80,9244,4175,384,9075,1241,2399
"qf",81,5895,3655,9008,9022,2539,25
"qf",82,3374,1683,176,1506,3679,5024
"qf",83,6865,5152,5653,1218,1923,3937
"qf",84,2489,3668,1414,3683,2656,6420
"qf",85,5505,1599,5913,2230,6090,5618
"qf",86,319,4779,9007,3604,4561,604
"qf",87,2403,1745,360,5419,6352,316
"qf",88,5988,694,3620,469,1072,987
"qf",89,9076,5089,2974,930,9125,4020
"qf",90,587,6672,910,4693,597,2240
"qf",91,4122,9075,5653,5411,9008,2635
"qf",92,1241,7018,3683,3655,1506,1683
"qf",93,2399,2539,5913,3668,6865,2638
"qf",94,2656,9244,2489,8576,5505,9007
"qf",95,1218,1983,2230,316,9022,135
"qf",96,25,604,5409,1923,3374,360
"qf",97,5895,2974,6420,3620,176,2403
"qf",98,597,5988,3679,9076,384,6090
"qf",99,5024,4779,1072,930,910,4039
"qf",100,987,9125,6352,6672,5618,4561
"qf",101,4693,1414,1745,6823,3604,3937
"qf",102,469,1599,319,4175,587,4020
"qf",103,5419,694,1983,5089,5152,1241
"qf",104,2240,1683,9244,604,3668,2230
"qf",105,7018,1923,4122,2489,5895,9007
"qf",106,2539,3655,2656,597,2403,9075
