matchNum,redScore,redLinks,blueScore,blueLinks
1,145,6,90,2
2,159,7,135,4
3,170,7,139,6
4,140,6,122,6
5,161,5,132,4
6,150,6,89,2
7,137,7,173,7
8,115,3,139,6
9,95,5,131,5
10,151,6,94,4
11,147,6,118,3
12,165,6,144,5
13,155,6,185,7
14,91,4,163,7
15,119,3,148,6
16,131,5,128,5
17,145,5,91,1
18,94,4,160,6
19,127,5,143,5
20,125,4,155,7
21,141,6,126,4
22,81,2,151,5
23,152,4,188,8
24,150,6,107,4
25,139,5,137,5
26,150,7,96,1
27,98,3,165,6
28,192,9,143,5
29,94,3,122,5
30,169,8,193,6
31,139,4,151,7
32,113,5,169,7
33,150,6,173,7
34,125,4,142,4
35,168,7,173,7
36,67,1,152,5
37,159,5,149,5
38,141,5,108,3
39,138,5,140,5
40,103,2,180,6
41,142,4,186,9
42,179,7,173,8
43,110,4,163,7
44,105,2,113,5
45,154,7,128,5
46,91,3,140,5
47,167,7,99,4
48,120,5,165,7
49,155,4,146,5
50,130,5,133,3
51,125,6,153,6
52,164,7,138,5
53,107,2,163,8
54,124,4,110,4
55,140,6,168,7
56,160,8,111,5
57,160,7,134,5
58,119,4,184,8
59,131,6,126,4
60,111,4,104,3
61,151,6,153,6
62,148,5,123,6
63,101,4,152,6
64,84,4,134,4
65,183,9,157,7
66,156,6,116,4
67,106,3,169,7
