"teamNum","matchesPlayedi","EPAi","EPA","matchesPlayed","ECT","aPPG","aPPGa","aPPGt","aPPGe","SEf","aSt","aSa","aS","BC"
1072,27,36.18,36.18,33,31.3,32.91,11.55,13.18,8.18,0,4.55,1,5.55,82
1218,46,48.99,48.99,51,35.7,41.2,11.8,19.6,9.8,0,5.1,1.2,6.3,90
1241,65,54.57,54.57,70,28.6,39.5,12.9,20.6,6,0,5.7,1.3,7,86
135,60,33.41,33.41,64,22.6,38.89,9.78,21.56,7.56,0,6.22,1,7.22,86
1414,50,48.99,48.99,55,19.3,41.2,14.1,20.3,6.8,0,5.9,0.8,6.7,75
1506,57,58.7,58.7,61,19.6,49.56,12.89,28.89,7.78,0,7.11,1.56,8.67,78
1599,48,45.78,45.78,52,31.2,41.22,16.78,16.67,7.78,0,4.44,0.89,5.33,100
1683,51,49.06,49.06,57,21.3,39.4,13.2,20.2,6,0,5.4,1.8,7.2,100
1745,51,51.99,51.99,56,24.2,37.9,7,22.9,8,0,6.4,0.9,7.3,89
176,55,63.73,63.73,60,17.1,50.8,16.3,27.5,7,0,8.1,2.1,10.2,78
1923,56,55.41,55.41,61,16,41.8,10.2,22.8,8.8,0,7.8,0.5,8.3,89
1983,48,42.72,42.72,53,35.8,34.6,17.1,10.5,7,0,4.2,1,5.2,70
2230,50,42.78,42.78,55,25.6,43.3,13.5,21.8,8,0,5.9,1.6,7.5,100
2240,35,51.29,51.29,40,22.8,33.78,8.11,17.89,7.78,0,4.89,0.89,5.78,100
2399,27,42.73,42.73,30,51.9,37.56,15.67,15.22,6.67,0,4.22,1.56,5.78,100
2403,33,39.08,39.08,38,25.6,31.9,9,14.3,8.6,0,5.7,1.2,6.9,70
2489,22,31.23,31.23,27,33.3,21.7,4.8,9.1,7.8,0,4.4,0.8,5.2,70
25,73,50.2,50.2,78,27.8,37.78,9.67,20.78,7.33,0,5.22,0.78,6,71
2539,56,62.84,62.84,61,15.8,44.64,12.82,25.45,6.36,0,7.18,1.82,9,100
2635,29,24.37,24.37,33,55.5,27.33,9,10.78,7.56,0,3,1,4,75
2638,45,41.25,41.25,49,36,33.11,9.33,16.22,7.56,0,4.11,1,5.11,86
2656,15,32.82,32.82,20,30.6,20.3,6.2,6.3,7.8,0,3.1,1,4.1,88
2974,49,54.5,54.5,54,22.8,45.4,16.8,24,4.6,0,6.6,2,8.6,50
316,49,51.5,51.5,54,23.6,45.6,15.3,22.3,8,0,6.2,0.9,7.1,100
319,52,55.77,55.77,56,21.6,40.44,11,21.89,7.56,0,6.33,1.44,7.77,86
3374,31,33.84,33.84,37,31,38.3,14.1,15.2,9,0,3.8,0.9,4.7,90
