"teamNum","matches","alliances"
1072,"3,18,27,44,64,77,88,99,108,116,129","b,b,b,r,r,r,b,r,b,b,b"
1218,"4,14,27,40,56,73,83,95,109,129","b,b,b,r,r,r,b,r,b,r"
1241,"12,20,28,43,54,72,80,92,103,117,129","b,r,b,r,r,r,b,r,b,b,b"
135,"8,19,35,44,55,66,78,95,107,121","r,r,b,b,r,r,r,b,b,r"
1414,"1,24,34,51,59,75,84,101,109,120","r,r,b,b,r,b,r,r,r,b"
1506,"13,24,37,50,63,71,82,92,113,124","r,r,b,b,r,r,b,b,b,r"
1599,"12,26,37,51,64,74,85,102,111,122","r,b,r,b,b,b,r,r,r,r"
1683,"6,19,33,42,64,73,82,92,104,120","r,b,r,b,b,b,r,b,r,r"
1745,"3,14,29,42,62,76,87,101,111,128","b,b,b,b,r,r,r,r,b,b"
176,"12,23,31,41,53,68,82,97,107,128","r,b,r,b,b,b,r,b,r,r"
1923,"5,13,30,43,58,72,83,96,105,121","b,r,r,b,b,r,b,b,r,r"
1983,"7,26,38,49,59,68,78,95,103,119","b,r,b,b,b,b,r,r,r,b"
2230,"5,18,28,50,61,70,85,95,104,128","b,r,r,r,b,b,b,r,b,r"
2240,"8,21,31,43,60,69,79,90,104,123","r,r,b,b,r,b,r,b,r,r"
2399,"3,15,30,40,55,65,80,93,110,127","r,r,b,b,b,b,b,r,r,r"
2403,"9,20,32,50,59,73,87,97,106,116","r,b,b,r,b,r,r,b,b,b"
2489,"10,22,39,50,64,75,84,94,105,118","b,b,b,r,r,r,r,r,b,b"
25,"4,22,34,51,61,69,81,96,115,126","r,r,r,b,b,b,b,r,r,b"
2539,"1,18,28,42,53,65,81,93,106,121,129","r,b,r,r,b,r,b,r,r,b,r"
2635,"2,16,36,50,60,68,78,91,111,127","b,b,r,b,b,r,r,b,r,r"
2638,"12,21,39,51,62,70,78,93,113,125","r,r,r,r,r,b,b,b,r,b"
2656,"5,16,38,47,61,76,84,94,106,117","b,b,r,b,r,r,b,r,r,b"
2974,"8,22,33,45,62,70,89,97,109,124","b,b,r,b,b,b,r,r,r,r"
316,"11,23,31,39,54,76,87,95,115,124","r,b,b,r,b,r,b,b,r,b"
319,"2,23,32,48,57,70,86,102,114,129","r,b,b,r,r,r,r,r,b,b"
3374,"11,22,32,40,60,74,82,96,107,117","b,r,r,b,r,r,r,b,b,b"
360,"12,24,36,46,57,65,87,96,108,125","b,b,r,r,b,b,r,b,r,b"
3604,"8,17,30,49,64,72,86,101,115,125","b,r,b,b,b,r,b,b,r,r"
3620,"13,21,29,40,61,77,88,97,114,122","b,b,r,b,r,r,r,b,r,b"
3655,"5,15,26,39,52,67,81,92,106,120","r,b,r,b,r,b,r,b,r,b"
3668,"2,14,26,41,54,71,84,93,104,121","r,r,b,b,r,b,r,b,b,b"
3679,"8,25,38,48,59,67,82,98,112,122","r,b,r,b,b,r,b,r,r,b"
3683,"7,18,31,40,58,66,84,92,112,126","r,b,b,r,b,r,b,r,r,b"
384,"5,17,27,42,55,68,80,98,108,124","r,r,b,r,b,b,r,b,r,b"
3937,"7,25,33,41,53,69,83,101,116,127","b,r,b,b,r,r,b,b,r,b"
4020,"10,24,38,52,60,72,89,102,116,128","r,r,r,r,b,b,b,b,b,b"
4039,"6,20,36,46,56,66,79,99,115,128","r,r,b,r,r,r,r,b,b,b"
4122,"2,15,28,44,59,69,79,91,105,124","b,b,b,r,r,b,b,r,r,r"
4175,"6,14,36,44,53,67,80,102,113,123","b,r,b,b,b,r,r,b,b,r"
4561,"7,15,31,45,56,67,86,100,108,117","r,r,r,r,b,b,b,b,b,r"
469,"11,19,28,49,63,75,88,102,112,127","r,b,r,r,r,r,b,r,b,b"
4693,"9,18,38,46,63,74,90,101,109,118","r,r,b,r,b,r,b,r,b,r"
4779,"9,24,33,43,55,76,86,99,112,122","b,b,b,r,r,b,r,r,r,r"
5024,"1,15,27,48,61,72,82,99,111,119","b,r,r,r,r,b,b,r,b,r"
5089,"6,15,27,50,58,76,89,103,114,125","b,b,r,b,r,b,r,b,r,r"
5152,"2,18,37,45,55,75,83,103,115,123","r,r,r,b,r,r,r,b,b,b"
5409,"3,16,28,41,52,71,79,96,109,119","b,b,b,r,r,b,r,r,r,b"
5411,"1,17,37,47,58,70,79,91,107,116","r,r,b,b,b,r,b,b,r,r"
5419,"10,21,30,44,53,74,87,103,112,120","b,r,b,b,r,r,b,r,b,b"
5505,"3,17,34,48,60,73,85,94,113,121","r,b,r,b,r,r,r,b,r,b"
5618,"1,16,29,40,57,68,85,100,112,125","b,r,r,r,b,r,b,b,b,r"
5653,"8,20,29,39,63,74,83,91,110,126","b,r,b,r,b,b,r,r,b,r"
587,"4,25,39,47,55,71,90,102,111,125","r,r,b,r,b,r,r,b,r,b"
5895,"3,14,33,49,57,66,81,97,105,117","r,b,b,b,r,b,r,r,b,r"
5913,"13,25,36,45,63,76,85,93,107,120","b,b,r,r,r,b,r,r,b,r"
597,"7,24,36,44,62,75,90,98,106,119","b,b,b,r,r,b,b,r,b,r"
