"teamNum","matches","alliances"
"1255","21,27,33,40,46,55,59,64,71,81,85,91","r,b,r,b,b,b,r,r,r,r,b,r"
"1296","9,12,19,23,30,38,45,53,61,68,74,78,82,89","r,r,r,b,b,b,r,b,b,r,r,b,r,r"
"1477","10,12,15,20,28,32,41,45,51,56,64,73,79,84,93","r,b,b,r,b,b,r,b,r,b,r,r,b,b,r"
"2468","1,4,7,13,16,18,23,30,41,47,51,58,67,72,77,84,95","r,r,r,r,r,r,r,b,b,r,b,b,r,r,b,b,b"
"2582","7,11,19,25,29,39,44,55,59,68,72,77,84,90","b,r,r,r,b,r,r,b,b,b,b,r,r,b"
"2689","5,8,13,15,17,29,35,39,43,52,56,64,69,77,85,95","b,r,b,r,r,b,b,b,b,r,r,r,b,b,r,r"
"2848","2,3,9,14,26,35,39,47,53,58,63,71,76,84,91","r,r,b,r,b,b,r,b,r,r,b,b,r,b,r"
"2882","2,28,33,38,48,54,58,68,74,79,85,90","b,r,b,r,r,b,r,r,b,b,b,b"
"3035","3,9,14,21,26,30,37,49,54,59,63,75,80,87,95","r,b,r,b,r,b,b,r,b,r,r,r,b,b,r"
"324","1,4,6,10,14,17,24,31,40,49,55,60,66,75,79,84,89","b,b,r,b,b,b,b,r,b,b,r,r,r,r,b,r,b"
"3679","1,2,4,7,13,16,22,29,41,46,54,60,66,70,80,88,93","r,b,r,r,r,r,r,r,r,b,r,r,b,r,r,b,b"
"3802","18,24,31,36,45,54,61,67,72,76,85,90","r,r,r,r,b,r,b,b,b,b,b,r"
"3847","7,11,21,28,34,38,43,53,60,64,72,78,88,92","b,r,r,b,b,r,b,b,b,b,r,r,r,r"
"4063","2,3,9,14,23,31,36,43,49,59,63,71,79,86,92","b,r,b,r,b,r,b,b,r,b,b,r,r,r,b"
"4219","16,17,23,34,40,44,50,56,62,70,76,83,90","b,r,b,r,r,r,b,b,r,b,r,b,r"
"4587","22,26,30,41,48,52,56,68,73,78,83,92","r,b,r,b,b,b,r,b,r,b,r,r"
"4639","22,28,34,39,44,49,59,67,74,81,87,91","b,r,r,b,b,b,b,r,r,b,r,r"
"5414","3,5,6,8,11,19,23,33,37,42,49,56,65,70,78,84,94","b,r,b,b,b,b,r,b,r,b,r,b,r,r,b,r,b"
"5427","7,11,17,26,31,38,44,53,60,65,73,80,85,94","b,r,b,r,b,b,b,r,b,b,b,r,r,r"
"5431","3,5,6,8,11,22,27,31,37,47,51,57,69,74,78,82,90","b,r,b,b,b,r,r,b,r,b,b,r,b,r,r,b,b"
"5613","20,25,31,40,46,54,58,63,69,77,83,92","b,r,b,b,r,r,r,r,r,b,b,b"
"5892","2,9,12,27,34,39,43,51,61,65,70,77,83,89","r,r,r,b,b,b,r,b,r,b,r,r,b,r"
"5923","21,25,32,37,45,52,57,62,70,79,83,91","b,r,r,r,b,r,b,b,b,r,r,b"
"6369","10,12,15,19,24,30,37,43,50,58,66,73,81,88,93","r,b,b,r,r,r,b,r,b,b,r,b,r,r,b"
"6377","9,12,20,28,32,37,48,55,61,65,69,76,86,95","r,r,r,r,r,b,b,r,r,r,b,b,b,b"
"6672","1,4,7,13,16,18,28,35,42,46,50,59,65,75,82,88,94","r,r,r,r,r,b,b,r,r,r,b,r,r,b,b,b,r"
"6800","5,8,13,15,20,26,33,38,42,51,62,66,72,77,87,91","b,r,b,r,b,b,b,b,r,r,r,b,r,r,r,b"
"7503","22,26,32,36,43,55,62,67,74,78,83,94","b,r,b,b,r,r,r,b,b,r,r,b"
"7540","18,22,29,38,45,50,60,65,69,76,86,91","b,b,b,r,r,r,r,b,r,r,b,b"
"8019","1,4,6,10,14,16,19,25,33,40,47,52,61,67,75,80,86,92","b,b,r,b,b,b,b,b,r,r,b,r,b,r,b,b,b,r"
"8177","5,8,13,15,18,27,35,40,45,49,62,68,74,80,88,95","b,r,b,r,r,b,r,r,r,b,b,b,b,r,r,r"
"8827","20,27,32,36,47,52,60,68,72,81,87,93","b,r,r,b,r,b,b,r,b,r,b,r"
"9051","21,29,35,42,47,54,62,69,73,81,89,94","r,r,b,r,r,b,b,r,b,b,b,b"
"9054","17,27,34,42,46,55,61,67,73,82,86,93","b,r,r,b,r,b,r,b,r,r,r,b"
"9080","18,23,33,39,48,53,57,66,75,81,86,90","b,r,r,r,b,b,b,b,r,b,r,r"
"9128","1,4,6,10,14,16,19,24,34,41,48,52,58,63,71,79,87,94","b,b,r,b,b,b,b,b,b,r,r,b,b,r,b,r,r,r"
"9136","10,12,15,20,24,35,41,46,50,57,63,70,80,85,89","r,b,b,r,r,r,b,b,r,r,b,b,b,r,b"
"9140","3,5,6,8,11,21,25,32,36,44,50,56,66,71,82,89,95","b,r,b,b,b,b,b,b,r,r,r,r,r,b,b,r,b"
"9156","2,24,29,36,44,51,57,64,75,82,87,92","r,b,r,r,b,r,r,b,b,r,b,b"
"9181","17,25,30,42,48,53,57,64,71,76,88,93","r,b,r,b,r,r,b,b,r,b,b,r"
