"","matchNum","redScore","redLinks","blueScore","blueLinks"
"1",1,145,6,90,2
"42",2,159,7,135,4
"53",3,170,7,139,6
"64",4,140,6,122,6
"75",5,161,5,132,4
"86",6,150,6,89,2
"97",7,137,7,173,7
"108",8,115,3,139,6
"119",9,95,5,131,5
"2",10,151,6,94,4
"13",11,147,6,118,3
"24",12,165,6,144,5
"35",13,155,6,185,7
"36",14,91,4,163,7
"37",15,119,3,148,6
"38",16,131,5,128,5
"39",17,145,5,91,1
"40",18,94,4,160,6
"41",19,127,5,143,5
"43",20,125,4,155,7
"44",21,141,6,126,4
"45",22,81,2,151,5
"46",23,152,4,188,8
"47",24,150,6,107,4
"48",25,139,5,137,5
"49",26,150,7,96,1
"50",27,98,3,165,6
"51",28,192,9,143,5
"52",29,94,3,122,5
"54",30,169,8,193,6
"55",31,139,4,151,7
"56",32,113,5,169,7
"57",33,150,6,173,7
"58",34,125,4,142,4
"59",35,168,7,173,7
"60",36,67,1,152,5
"61",37,159,5,149,5
"62",38,141,5,108,3
"63",39,138,5,140,5
"65",40,103,2,180,6
"66",41,142,4,186,9
"67",42,179,7,173,8
"68",43,110,4,163,7
"69",44,105,2,113,5
"70",45,154,7,128,5
"71",46,91,3,140,5
"72",47,167,7,99,4
"73",48,120,5,165,7
"74",49,155,4,146,5
"76",50,130,5,133,3
"77",51,125,6,153,6
"78",52,164,7,138,5
"79",53,107,2,163,8
"80",54,124,4,110,4
"81",55,140,6,168,7
"82",56,160,8,111,5
"83",57,160,7,134,5
"84",58,119,4,184,8
"85",59,131,6,126,4
"87",60,111,4,104,3
"88",61,151,6,153,6
"89",62,148,5,123,6
"90",63,101,4,152,6
"91",64,84,4,134,4
"92",65,183,9,157,7
"93",66,184,8,159,7
"94",67,106,3,169,7
"95",68,129,4,156,7
"96",69,161,7,111,3
"98",70,171,7,150,6
"99",71,156,6,147,5
"100",72,169,6,124,5
"101",73,130,4,138,5
"102",74,148,6,107,3
"103",75,165,6,160,7
"104",76,141,6,121,3
"105",77,138,7,112,4
"106",78,144,6,119,5
"107",79,180,8,157,5
"109",80,96,3,157,6
"110",81,165,6,163,7
"111",82,170,7,147,5
"112",83,140,4,198,8
"113",84,148,7,130,5
"114",85,160,6,156,6
"115",86,140,6,178,8
"116",87,112,4,135,4
"117",88,145,5,156,6
"118",89,119,5,162,7
"120",90,171,7,140,6
"121",91,98,4,125,4
"122",92,138,6,170,7
"123",93,182,9,134,5
"124",94,72,4,131,4
"125",95,146,6,129,5
"126",96,166,7,177,7
"127",97,176,9,173,7
"128",98,138,4,148,6
"129",99,156,7,181,9
"3",100,152,6,130,4
"4",101,149,6,193,9
"5",102,149,5,115,4
"6",103,131,5,144,5
"7",104,135,4,180,8
"8",105,131,5,91,4
"9",106,141,5,111,4
"10",107,136,6,127,4
"11",108,170,7,189,8
"12",109,189,8,145,5
"14",110,148,4,134,5
"15",111,147,5,169,7
"16",112,170,8,150,5
"17",113,91,3,159,7
"18",114,109,4,121,4
"19",115,182,8,168,7
"20",116,154,8,121,5
"21",117,147,5,123,4
"22",118,83,3,108,4
"23",119,116,4,143,5
"25",120,164,7,156,7
"26",121,133,4,174,7
"27",122,173,7,137,5
"28",123,171,7,118,3
"29",124,157,6,174,7
"30",125,119,2,157,7
"31",126,107,6,123,5
"32",127,118,4,202,9
"33",128,121,5,172,7
"34",129,135,5,179,7
